Exp,fps
1618839932.653572,46.11632835959026
1618839932.674381,46.122653627656526
1618839932.695812,46.12445879983533
1618839932.7174668,46.1246490592052
1618839932.738367,46.13023980113984
1618839932.759347,46.135215815275835
1618839932.781249,46.13360291403906
1618839932.802012,46.14008930875686
1618839932.823201,46.14350661216521
1618839932.844257,46.14785375042232
1618839932.866262,46.14548865407316
1618839932.88697,46.15223923377567
1618839932.908449,46.15355514782379
1618839932.929368,46.15876140053526
1618839932.95059,46.16183165336344
1618839932.971294,46.16846693708197
1618839932.992503,46.171569967859206
1618839933.013858,46.17366301924518
1618839933.035233,46.17559882402182
1618839933.0564978,46.17827418764719
1618839933.077579,46.18218651258834
1618839933.098573,46.18666561545424
1618839933.1197891,46.18961349557863
1618839933.140969,46.192786177832
1618839933.162418,46.1941284202599
1618839933.1841018,46.19389203441532
1618839933.205528,46.19536963101919
1618839933.226646,46.19889896474042
1618839933.247726,46.20265954598762
1618839933.2693481,46.2027972780526
1618839933.2906811,46.20485085131365
1618839933.311743,46.208677818551074
1618839933.333418,46.20845415659263
1618839933.354252,46.21374737070712
1618839933.3751528,46.21856519199291
1618839933.397111,46.21647033825524
1618839933.4179788,46.221458951551206
1618839933.439104,46.22476075534621
1618839933.460574,46.22581576345007
1618839933.481676,46.22923965989761
1618839933.502748,46.23282964076952
1618839933.523846,46.23623226203706
1618839933.545604,46.23540306920267
1618839933.56654,46.23980264411853
1618839933.5876591,46.24302838320239
1618839933.608907,46.2454129133885
1618839933.6304262,46.246073858390425
1618839933.651198,46.25142410175314
1618839933.6730611,46.24991200988148
1618839933.694358,46.2519427168337
1618839933.7150578,46.25768578866792
1618839933.7360861,46.2613562215876
1618839933.757209,46.26441656212473
1618839933.7790961,46.262727096841395
1618839933.799938,46.26750565076914
1618839933.821376,46.26858488064965
1618839933.842995,46.26854768862089
1618839933.863883,46.27297618528228
1618839933.88502,46.2758732890122
1618839933.906153,46.2787664605158
1618839933.927003,46.283373032579696
1618839933.9482749,46.28539443458664
1618839933.969443,46.28802626552116
